Field Name,Number Non-PA Wells,INJ Types (All),"Water Cut, %","GOR, Mscf/BO","Daily Liquid Rate, bpd","Daily Gas Rate, Mscfpd",Type,Status,Lat,Lon,EOR_Technology,INJ Type
IGNACIO BLANCO,4342,"GAS, WATER",99.99261682,0,14855.03226,566562.6129,Gas,Active,37.10427573,-107.7430262,,WATER
DEEP CREEK,48,WATER,99.91645781,0,38.61290323,4776.451613,Gas,Active,50.20987807,-130.2687872,,WATER
MCELMO,140,WATER,0,0,5.870967742,399643.4516,Gas,Active,37.44813586,-108.8294731,"CO2, Miscible",WATER
ELSINORE,51,SALT WATER,99.95374653,0,69.74193548,1157.870968,Gas,Active,30.54258674,-102.9465092,,WATER
TRI-CITIES,226,"SALT WATER, GAS",99.98575701,0,1132.419355,4946.096774,Gas,Active,32.14930706,-95.9631905,,WATER
TEXAS HUGOTON,1420,SALT WATER,99.73324797,26691.92,302.3225806,21525.74194,Gas,Active,36.24052388,-101.8208996,,WATER
DEW,381,"SALT WATER, SALT WATER,FRAC FLUID",99.91619978,14960.88571,1347.290323,16891.32258,Gas,Active,31.54886969,-96.15577272,,WATER
LYSITE,29,WATER,99.9285374,14847.16667,270.8387097,2873.645161,Gas,Active,43.32210793,-107.7622593,,WATER
BALD PRAIRIE,843,"SALT WATER, SALT WATER,FRAC FLUID",99.89743809,11736.84896,6038.83871,72692.74194,Gas,Active,31.16830653,-96.46911539,,WATER
"CHENOT, N.",17,,99.96332967,11582,87.96774194,373.6129032,Gas,Active,30.97302866,-102.4494889,,UNKNOWN
FREESTONE,1330,"SALT WATER, SALT WATER,FRAC FLUID",99.90201251,11453.02959,5563.580645,62437.48387,Gas,Active,31.51309664,-96.28155867,,WATER
WHITEHEAD,206,SALT WATER,96.47577093,10622.875,7.322580645,2741.387097,Gas,Active,30.49352814,-100.8875259,,WATER
"WILLMAN, N.",25,SALT WATER,93.75,8834,0.516129032,284.9677419,Gas,Active,28.11970131,-97.84645433,,WATER
"DOUGLASS, W.",431,SALT WATER,99.94257274,8171.9375,2696.258065,12653.32258,Gas,Active,31.67561292,-94.79906373,,WATER
MADDEN,381,WATER,99.71340291,7519.761562,10951.64516,236023.4839,Gas,Active,43.26011217,-107.5583862,,WATER
LITTLE EARS,17,SALT WATER,99.88514548,6872.666667,84.25806452,665.0967742,Gas,Active,31.65125176,-94.72644277,,WATER
CISCO-BENAVIDES,236,SALT WATER,99.97975572,6715.301587,10038.67742,13647.22581,Gas,Active,27.04909126,-99.31919676,,WATER
PANOLA,345,SALT WATER,84.59869848,6288.535211,14.87096774,14402.77419,Gas,Active,33.24293915,-94.4685744,,WATER
VERNON,1086,WATER,99.82191618,5161.733333,543.4193548,4995.225806,Gas,Active,35.7008569,-95.24982612,"CO2, Polymer",WATER
ROJO CABALLOS,92,SALT WATER,94,4461.666667,1.612903226,431.7741935,Gas,Active,31.14099676,-103.1928441,,WATER
FARRAR,768,,99.80724689,3946.765668,6141.903226,46724.6129,Gas,Active,31.43152031,-96.28224273,,UNKNOWN
OAKRIDGE,94,"WATER, ",99.62779156,3881.333333,26,375.6129032,Gas,Active,34.11173311,-116.5734136,Steam,WATER
AZTEC,727,SALT WATER,97.91231733,3868.905263,293.5806452,23712.64516,Gas,Active,36.75100891,-107.9172294,,WATER
DARROUZETT,34,,97.61904762,3761.5,2.709677419,242.6774194,Gas,Active,36.43005961,-100.3090623,,UNKNOWN
WISE COUNTY REGULAR,112,,99.07407407,3716,3.483870968,119.8709677,Gas,Active,33.2324907,-97.70196986,,UNKNOWN
NAN-SU-GAIL,384,"SALT WATER, SALT WATER,FRAC FLUID",99.49432659,3664.365854,523.0967742,9692.83871,Gas,Active,31.76248383,-96.10175977,,WATER
OLD BALDY,214,WATER,96.7340591,3213.47619,20.74193548,2176.870968,Gas,Active,40.31290008,-102.4468218,,WATER
LA PERLA,692,SALT WATER,99.69847464,3103.434641,3273.677419,30633.90323,Gas,Active,27.22846008,-99.33671455,,WATER
MATHERS RANCH,96,,97.42574257,3004.230769,32.58064516,2519.677419,Gas,Active,35.90017757,-100.2233059,,UNKNOWN
WEBB,107,SALT WATER,99.13793103,2940.666667,11.22580645,284.5806452,Gas,Active,34.94432086,-97.1848259,,WATER
